"benchmark","variable","fixed","from","to","cycles_from","cycles_to","delta_cycles","delta_percent"
"bubble1","cost_per_use","regs=8,avg=false","0","1","1408254","1287837","-120417","-8.550801"
"bubble1","cost_per_use","regs=8,avg=true","0","1","1689738","1422216","-267522","-15.832159"
"bubble1","cost_per_use","regs=12,avg=false","0","1","1408254","1287837","-120417","-8.550801"
"bubble1","cost_per_use","regs=12,avg=true","0","1","1689738","1422216","-267522","-15.832159"
"bubble1","scalar_registers","cost=0,avg=false","8","12","1408254","1408254","0","0"
"bubble1","scalar_registers","cost=0,avg=true","8","12","1689738","1689738","0","0"
"bubble1","scalar_registers","cost=1,avg=false","8","12","1287837","1287837","0","0"
"bubble1","scalar_registers","cost=1,avg=true","8","12","1422216","1422216","0","0"
"bubble1","average_register_costs","cost=0,regs=8","false","true","1408254","1689738","281484","19.988156"
"bubble1","average_register_costs","cost=0,regs=12","false","true","1408254","1689738","281484","19.988156"
"bubble1","average_register_costs","cost=1,regs=8","false","true","1287837","1422216","134379","10.434473"
"bubble1","average_register_costs","cost=1,regs=12","false","true","1287837","1422216","134379","10.434473"
"bubble2","cost_per_use","regs=8,avg=false","0","1","1257054","1217277","-39777","-3.164303"
"bubble2","cost_per_use","regs=8,avg=true","0","1","1576842","1266984","-309858","-19.650542"
"bubble2","cost_per_use","regs=12,avg=false","0","1","1257054","1217277","-39777","-3.164303"
"bubble2","cost_per_use","regs=12,avg=true","0","1","1576842","1266984","-309858","-19.650542"
"bubble2","scalar_registers","cost=0,avg=false","8","12","1257054","1257054","0","0"
"bubble2","scalar_registers","cost=0,avg=true","8","12","1576842","1576842","0","0"
"bubble2","scalar_registers","cost=1,avg=false","8","12","1217277","1217277","0","0"
"bubble2","scalar_registers","cost=1,avg=true","8","12","1266984","1266984","0","0"
"bubble2","average_register_costs","cost=0,regs=8","false","true","1257054","1576842","319788","25.43948"
"bubble2","average_register_costs","cost=0,regs=12","false","true","1257054","1576842","319788","25.43948"
"bubble2","average_register_costs","cost=1,regs=8","false","true","1217277","1266984","49707","4.083458"
"bubble2","average_register_costs","cost=1,regs=12","false","true","1217277","1266984","49707","4.083458"
"bubble4","cost_per_use","regs=8,avg=false","0","1","1836730","1839565","2835","0.15435"
"bubble4","cost_per_use","regs=8,avg=true","0","1","2089990","1978354","-111636","-5.341461"
"bubble4","cost_per_use","regs=12,avg=false","0","1","1836730","1839565","2835","0.15435"
"bubble4","cost_per_use","regs=12,avg=true","0","1","2089990","1978354","-111636","-5.341461"
"bubble4","scalar_registers","cost=0,avg=false","8","12","1836730","1836730","0","0"
"bubble4","scalar_registers","cost=0,avg=true","8","12","2089990","2089990","0","0"
"bubble4","scalar_registers","cost=1,avg=false","8","12","1839565","1839565","0","0"
"bubble4","scalar_registers","cost=1,avg=true","8","12","1978354","1978354","0","0"
"bubble4","average_register_costs","cost=0,regs=8","false","true","1836730","2089990","253260","13.788635"
"bubble4","average_register_costs","cost=0,regs=12","false","true","1836730","2089990","253260","13.788635"
"bubble4","average_register_costs","cost=1,regs=8","false","true","1839565","1978354","138789","7.544664"
"bubble4","average_register_costs","cost=1,regs=12","false","true","1839565","1978354","138789","7.544664"
"call_args","cost_per_use","regs=8,avg=false","0","1","289179","289179","0","0"
"call_args","cost_per_use","regs=8,avg=true","0","1","289179","289179","0","0"
"call_args","cost_per_use","regs=12,avg=false","0","1","289179","289179","0","0"
"call_args","cost_per_use","regs=12,avg=true","0","1","289179","289179","0","0"
"call_args","scalar_registers","cost=0,avg=false","8","12","289179","289179","0","0"
"call_args","scalar_registers","cost=0,avg=true","8","12","289179","289179","0","0"
"call_args","scalar_registers","cost=1,avg=false","8","12","289179","289179","0","0"
"call_args","scalar_registers","cost=1,avg=true","8","12","289179","289179","0","0"
"call_args","average_register_costs","cost=0,regs=8","false","true","289179","289179","0","0"
"call_args","average_register_costs","cost=0,regs=12","false","true","289179","289179","0","0"
"call_args","average_register_costs","cost=1,regs=8","false","true","289179","289179","0","0"
"call_args","average_register_costs","cost=1,regs=12","false","true","289179","289179","0","0"
"constant_arith","cost_per_use","regs=8,avg=false","0","1","7849378","7755150","-94228","-1.200452"
"constant_arith","cost_per_use","regs=8,avg=true","0","1","7847330","7753102","-94228","-1.200765"
"constant_arith","cost_per_use","regs=12,avg=false","0","1","7849378","7755150","-94228","-1.200452"
"constant_arith","cost_per_use","regs=12,avg=true","0","1","7847330","7753102","-94228","-1.200765"
"constant_arith","scalar_registers","cost=0,avg=false","8","12","7849378","7849378","0","0"
"constant_arith","scalar_registers","cost=0,avg=true","8","12","7847330","7847330","0","0"
"constant_arith","scalar_registers","cost=1,avg=false","8","12","7755150","7755150","0","0"
"constant_arith","scalar_registers","cost=1,avg=true","8","12","7753102","7753102","0","0"
"constant_arith","average_register_costs","cost=0,regs=8","false","true","7849378","7847330","-2048","-0.026091"
"constant_arith","average_register_costs","cost=0,regs=12","false","true","7849378","7847330","-2048","-0.026091"
"constant_arith","average_register_costs","cost=1,regs=8","false","true","7755150","7753102","-2048","-0.026408"
"constant_arith","average_register_costs","cost=1,regs=12","false","true","7755150","7753102","-2048","-0.026408"
"crc16","cost_per_use","regs=8,avg=false","0","1","762440","568040","-194400","-25.497088"
"crc16","cost_per_use","regs=8,avg=true","0","1","1888592","1566032","-322560","-17.07939"
"crc16","cost_per_use","regs=12,avg=false","0","1","762440","568040","-194400","-25.497088"
"crc16","cost_per_use","regs=12,avg=true","0","1","1888592","1566032","-322560","-17.07939"
"crc16","scalar_registers","cost=0,avg=false","8","12","762440","762440","0","0"
"crc16","scalar_registers","cost=0,avg=true","8","12","1888592","1888592","0","0"
"crc16","scalar_registers","cost=1,avg=false","8","12","568040","568040","0","0"
"crc16","scalar_registers","cost=1,avg=true","8","12","1566032","1566032","0","0"
"crc16","average_register_costs","cost=0,regs=8","false","true","762440","1888592","1126152","147.703688"
"crc16","average_register_costs","cost=0,regs=12","false","true","762440","1888592","1126152","147.703688"
"crc16","average_register_costs","cost=1,regs=8","false","true","568040","1566032","997992","175.690444"
"crc16","average_register_costs","cost=1,regs=12","false","true","568040","1566032","997992","175.690444"
"divmod","cost_per_use","regs=8,avg=false","0","1","1034298","1029370","-4928","-0.476458"
"divmod","cost_per_use","regs=8,avg=true","0","1","894557","901917","7360","0.822754"
"divmod","cost_per_use","regs=12,avg=false","0","1","1034298","1029370","-4928","-0.476458"
"divmod","cost_per_use","regs=12,avg=true","0","1","894557","901917","7360","0.822754"
"divmod","scalar_registers","cost=0,avg=false","8","12","1034298","1034298","0","0"
"divmod","scalar_registers","cost=0,avg=true","8","12","894557","894557","0","0"
"divmod","scalar_registers","cost=1,avg=false","8","12","1029370","1029370","0","0"
