"configuration","cost_per_use","scalar_registers","average_register_costs","tail_duplication","benchmark","cycles","text_size","data_size","bss_size","function_size","stack_frame_size","ldsp_stsp_count","compact_add_sub_count","full_add_sub_count","compact_xor_count","full_xor_count","compact_mov_count","full_mov_count","short_branch_count","long_branch_count","crc_table_exists","crc_table_size"
"cost1-regs12-avgtrue","1","12","true","False","bubble1","1422216","115","64","0","92","0","0","0","1","1","0","2","6","7","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","bubble2","1266984","108","128","0","85","0","0","0","1","1","0","1","6","7","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","bubble4","1978354","133","256","0","110","8","9","0","0","3","0","5","0","7","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","call_args","289179","201","4","0","94","16","8","0","0","3","2","9","3","1","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","constant_arith","7753102","234","130","0","210","8","8","7","7","6","3","6","12","1","2","False","0"
"cost1-regs12-avgtrue","1","12","true","False","crc16","1566032","161","130","0","137","0","0","8","1","10","0","15","2","3","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","divmod","901917","746","164","0","394","16","35","2","8","8","6","4","9","3","1","False","0"
"cost1-regs12-avgtrue","1","12","true","False","fibonacci","250048","82","2","0","14","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","fir8","8538448","186","114","0","162","2","2","1","4","2","0","2","3","4","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","fixed_point","11609348","413","258","0","216","6","8","2","5","7","1","6","4","7","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","float","1308865","353","134","0","329","24","47","0","9","7","0","3","0","1","2","False","0"
"cost1-regs12-avgtrue","1","12","true","False","indirect_call","83052","107","3","0","71","0","0","0","0","1","0","0","1","2","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","loop_control","13887376","100","34","0","77","0","0","2","1","3","0","0","2","4","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","memory_services","18512","107","196","0","84","2","4","1","0","3","0","2","1","4","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","mixed_width","3083025","478","260","0","281","18","37","1","2","10","0","9","4","2","1","False","0"
"cost1-regs12-avgtrue","1","12","true","False","multiply","940612","252","258","0","228","10","17","10","4","3","0","9","4","3","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","pointer_walk","924704","99","258","0","76","0","0","0","3","1","1","0","2","3","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","progmem_walk","3175020","176","2","0","152","10","21","4","3","5","0","6","1","3","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","progmem_widen_ldp16","545647","174","6","0","51","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","progmem_widen_ldp32_bytes","738239","235","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","progmem_widen_ldp32_words","545636","177","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","record_scan","1793903","235","290","0","211","6","12","5","2","6","1","9","1","7","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","reverse_walk","1926704","96","258","0","73","0","0","2","1","2","0","2","2","3","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","select","743756","188","194","0","130","4","6","2","1","2","0","2","3","3","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","shifts","513641","456","116","0","360","16","28","3","6","4","6","4","5","3","1","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sieve","376067","98","900","0","75","0","0","3","1","1","0","1","3","6","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","small_memops","783091","220","66","0","196","12","12","1","0","3","0","2","3","2","1","False","0"
"cost1-regs12-avgtrue","1","12","true","False","stack_array","891399","383","4","0","206","0","0","0","0","1","15","0","15","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","state_machine","7292256","210","130","0","186","2","10","8","1","5","0","2","4","14","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","string_scan","25524795","591","386","0","567","12","14","13","9","6","8","20","14","34","2","False","0"
"cost1-regs12-avgtrue","1","12","true","False","struct_copy","819224","422","196","0","225","14","28","0","3","12","2","1","4","3","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","switch","936377","197","2","0","57","0","0","0","1","1","0","2","3","1","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_memcmp","3024","185","266","0","161","2","7","1","4","3","0","2","4","1","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_memcmp_p","5303","161","74","0","137","4","9","0","5","1","0","2","4","1","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strcmp","2715","226","280","0","202","4","11","4","3","1","0","12","2","4","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strcmp_p","5663","163","133","0","139","2","6","2","4","0","0","3","4","1","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strlen","3039","178","304","0","154","0","0","4","0","1","0","5","0","1","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strlen_p","7209","95","2","0","72","0","0","1","3","1","0","4","2","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strncat","2360","137","182","0","114","4","7","3","0","1","0","2","0","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strncat_p","3580","145","144","0","122","4","6","3","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strncpy","2291","212","115","0","188","4","4","4","1","1","0","6","2","1","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","sys_strncpy_p","3794","158","69","0","134","8","8","3","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgtrue","1","12","true","False","tail_calls","501299","87","4","0","38","0","0","0","0","1","1","0","1","1","0","False","0"
